target,max_depth,min_child_weight,gamma,CV_R2,Test_R2
altura_max_m,4,1,0.0,0.6506343781164544,0.7368567037301703
ganancia_altura_m,4,1,0.0,0.6222826875089955,0.6810380463827517
duracion_min,3,7,0.0,0.36848748974786966,0.6875936256996826
distancia_km,6,5,0.1,0.4618438819169624,0.6718048027273832
velocidad_promedio_kmh,5,5,0.1,0.29385561060258486,0.5252359187392834
num_termicas,3,7,0.0,0.0024103571554016543,0.24368438906931889
intensidad_termicas_mean_ms,3,7,0.3,-0.21398888406562805,0.0
tiempo_en_termicas_min,3,7,0.0,0.38564186444299536,0.7097908538921638
tasa_ascenso_mean_ms,3,7,0.3,-0.4155065300688811,0.0
